secid,date,low,high,open,close,volume,return,cfadj,cfret
108105,2022-12-12,3935.3,3990.71,3939.29,3990.56,0,0.014279,1,1
108105,2022-12-13,3993.03,4100.96,4069.38,4019.65,0,0.00729,1,1
108105,2022-12-14,3965.65,4053.76,4015.54,3995.32,0,-0.006053,1,1
108105,2022-12-15,3879.45,3958.37,3958.37,3895.75,0,-0.024922,1,1
108105,2022-12-16,3827.91,3890.91,3890.91,3852.36,0,-0.011138,1,1
108105,2022-12-19,3800.04,3854.86,3853.79,3817.66,0,-0.009008,1,1
108105,2022-12-20,3795.62,3838.24,3810.47,3821.62,0,0.001037,1,1
108105,2022-12-21,3839.49,3889.82,3839.49,3878.44,0,0.014868,1,1
108105,2022-12-22,3764.49,3853.26,3853.26,3822.39,0,-0.014452,1,1
108105,2022-12-23,3797.01,3845.8,3815.11,3844.82,0,0.005868,1,1
108105,2022-12-27,3813.22,3846.65,3843.34,3829.25,0,-0.00405,1,1
108105,2022-12-28,3780.78,3848.32,3829.56,3783.22,0,-0.012021,1,1
108105,2022-12-29,3805.45,3858.19,3805.45,3849.28,0,0.017461,1,1
108105,2022-12-30,3800.34,3839.85,3829.06,3839.5,0,-0.002541,1,1
108105,2023-01-03,3794.33,3878.46,3853.29,3824.14,0,-0.004001,1,1
108105,2023-01-04,3815.77,3873.16,3840.36,3852.97,0,0.007539,1,1
108105,2023-01-05,3802.42,3839.74,3839.74,3808.1,0,-0.011646,1,1
108105,2023-01-06,3809.56,3906.19,3823.37,3895.08,0,0.022841,1,1
108105,2023-01-09,3890.42,3950.57,3910.82,3892.09,0,-0.000768,1,1
108105,2023-01-10,3877.29,3919.83,3888.57,3919.25,0,0.006978,1,1
108105,2023-01-11,3928.54,3970.07,3932.35,3969.61,0,0.012849,1,1
108105,2023-01-12,3937.56,3997.76,3977.57,3983.17,0,0.003416,1,1
108105,2023-01-13,3947.67,4003.95,3960.6,3999.09,0,0.003997,1,1
108105,2023-01-17,3984.57,4015.39,3999.28,3990.97,0,-0.00203,1,1
108105,2023-01-18,3926.59,4014.16,4002.25,3928.86,0,-0.015563,1,1
108105,2023-01-19,3885.54,3922.94,3911.84,3898.85,0,-0.007638,1,1
108105,2023-01-20,3897.86,3972.96,3909.04,3972.61,0,0.018918,1,1
108105,2023-01-23,3971.64,4039.31,3978.14,4019.81,0,0.011881,1,1
108105,2023-01-24,3989.79,4023.92,4001.74,4016.95,0,-0.000712,1,1
108105,2023-01-25,3949.06,4019.55,3982.71,4016.22,0,-0.000182,1,1
108105,2023-01-26,4013.29,4061.57,4036.08,4060.43,0,0.011008,1,1
108105,2023-01-27,4048.7,4094.21,4053.72,4070.56,0,0.002495,1,1
108105,2023-01-30,4015.55,4063.85,4049.27,4017.77,0,-0.012969,1,1
108105,2023-01-31,4020.44,4077.16,4020.85,4076.6,0,0.014642,1,1
108105,2023-02-01,4037.2,4148.95,4070.07,4119.21,0,0.010452,1,1
108105,2023-02-02,4141.88,4195.44,4158.68,4179.76,0,0.014699,1,1
108105,2023-02-03,4123.36,4182.36,4136.69,4136.48,0,-0.010355,1,1
108105,2023-02-06,4093.38,4124.63,4119.57,4111.08,0,-0.00614,1,1
108105,2023-02-07,4088.39,4176.54,4105.35,4164,0,0.012873,1,1
108105,2023-02-08,4111.67,4156.85,4153.47,4117.86,0,-0.011081,1,1
108105,2023-02-09,4069.67,4156.23,4144.25,4081.5,0,-0.00883,1,1
108105,2023-02-10,4060.79,4094.36,4068.92,4090.46,0,0.002195,1,1
108105,2023-02-13,4092.67,4138.9,4096.62,4137.29,0,0.011449,1,1
108105,2023-02-14,4095.01,4159.77,4126.7,4136.13,0,-0.00028,1,1
108105,2023-02-15,4103.98,4148.11,4119.5,4147.6,0,0.002773,1,1
108105,2023-02-16,4089.49,4136.54,4114.75,4090.41,0,-0.013789,1,1
108105,2023-02-17,4047.95,4081.51,4077.39,4079.09,0,-0.002767,1,1
108105,2023-02-21,3995.19,4052.35,4052.35,3997.34,0,-0.020041,1,1
108105,2023-02-22,3976.9,4017.37,4001.83,3991.05,0,-0.001574,1,1
108105,2023-02-23,3969.19,4028.3,4018.6,4012.32,0,0.005329,1,1
108105,2023-02-24,3943.08,3978.25,3973.24,3970.04,0,-0.010538,1,1
108105,2023-02-27,3973.55,4018.05,3992.36,3982.24,0,0.003073,1,1
108105,2023-02-28,3968.98,3997.5,3977.19,3970.15,0,-0.003036,1,1
108105,2023-03-01,3939.05,3971.73,3963.34,3951.39,0,-0.004725,1,1
108105,2023-03-02,3928.16,3990.84,3938.68,3981.35,0,0.007582,1,1
108105,2023-03-03,3995.17,4048.29,3998.02,4045.64,0,0.016148,1,1
108105,2023-03-06,4044.61,4078.49,4055.15,4048.42,0,0.000687,1,1
108105,2023-03-07,3980.31,4050,4048.26,3986.37,0,-0.015327,1,1
108105,2023-03-08,3969.76,4000.41,3987.55,3992.01,0,0.001415,1,1
108105,2023-03-09,3908.7,4017.81,3998.66,3918.32,0,-0.018459,1,1
108105,2023-03-10,3846.32,3934.05,3912.77,3861.59,0,-0.014478,1,1
108105,2023-03-13,3808.86,3905.05,3835.12,3855.76,0,-0.00151,1,1
108105,2023-03-14,3873.63,3937.29,3894.01,3919.29,0,0.016477,1,1
108105,2023-03-15,3838.24,3894.26,3876.74,3891.93,0,-0.006981,1,1
108105,2023-03-16,3864.11,3964.46,3878.93,3960.28,0,0.017562,1,1
108105,2023-03-17,3901.27,3958.91,3958.69,3916.64,0,-0.011019,1,1
108105,2023-03-20,3916.89,3956.62,3917.47,3951.57,0,0.008918,1,1
108105,2023-03-21,3971.19,4009.08,3975.89,4002.87,0,0.012982,1,1
108105,2023-03-22,3936.17,4039.49,4002.04,3936.97,0,-0.016463,1,1
108105,2023-03-23,3919.05,4007.66,3959.21,3948.72,0,0.002985,1,1
108105,2023-03-24,3909.16,3972.74,3939.21,3970.99,0,0.00564,1,1
108105,2023-03-27,3970.49,4003.83,3982.93,3977.53,0,0.001647,1,1
108105,2023-03-28,3951.53,3979.2,3974.13,3971.27,0,-0.001574,1,1
108105,2023-03-29,3999.53,4030.59,3999.53,4027.81,0,0.014237,1,1
108105,2023-03-30,4032.1,4057.85,4046.74,4050.83,0,0.005715,1,1
108105,2023-03-31,4056.18,4110.75,4056.18,4109.31,0,0.014437,1,1
108105,2023-04-03,4098.79,4127.66,4102.2,4124.51,0,0.003699,1,1
108105,2023-04-04,4086.87,4133.13,4128.03,4100.6,0,-0.005797,1,1
108105,2023-04-05,4072.56,4099.69,4094.5,4090.38,0,-0.002492,1,1
108105,2023-04-06,4069.84,4107.32,4081.15,4105.02,0,0.003579,1,1
108105,2023-04-10,4072.55,4109.5,4085.2,4109.11,0,0.000996,1,1
108105,2023-04-11,4102.61,4124.26,4110.29,4108.94,0,-0.000041,1,1
108105,2023-04-12,4086.94,4134.37,4121.72,4091.95,0,-0.004135,1,1
