secid,date,days,volatility,index_flag
101594,2020-11-03,182,0.393278,0
101594,2020-11-03,273,0.513652,0
101594,2020-11-03,365,0.457812,0
101594,2020-11-03,547,0.403004,0
101594,2020-11-03,730,0.390092,0
101594,2020-11-03,1825,0.301152,0
101594,2020-11-04,10,0.566333,0
101594,2020-11-04,14,0.502344,0
101594,2020-11-04,30,0.439012,0
101594,2020-11-04,60,0.457636,0
101594,2020-11-04,91,0.455925,0
101594,2020-11-04,122,0.445868,0
101594,2020-11-04,152,0.42607,0
101594,2020-11-04,182,0.396576,0
101594,2020-11-04,273,0.51549,0
101594,2020-11-04,365,0.459358,0
101594,2020-11-04,547,0.403475,0
101594,2020-11-04,730,0.390445,0
101594,2020-11-04,1825,0.301656,0
101594,2020-11-05,10,0.599438,0
101594,2020-11-05,14,0.531411,0
101594,2020-11-05,30,0.442582,0
101594,2020-11-05,60,0.460519,0
101594,2020-11-05,91,0.456099,0
101594,2020-11-05,122,0.447419,0
101594,2020-11-05,152,0.42685,0
101594,2020-11-05,182,0.398938,0
101594,2020-11-05,273,0.516768,0
101594,2020-11-05,365,0.460504,0
101594,2020-11-05,547,0.40435,0
101594,2020-11-05,730,0.391099,0
101594,2020-11-05,1825,0.301915,0
101594,2020-11-06,10,0.597009,0
101594,2020-11-06,14,0.529639,0
101594,2020-11-06,30,0.439673,0
101594,2020-11-06,60,0.455136,0
101594,2020-11-06,91,0.453617,0
101594,2020-11-06,122,0.447356,0
101594,2020-11-06,152,0.424907,0
101594,2020-11-06,182,0.39799,0
101594,2020-11-06,273,0.516462,0
101594,2020-11-06,365,0.46043,0
101594,2020-11-06,547,0.404218,0
101594,2020-11-06,730,0.390595,0
101594,2020-11-06,1825,0.301796,0
101594,2020-11-09,10,0.368111,0
101594,2020-11-09,14,0.542677,0
101594,2020-11-09,30,0.452708,0
101594,2020-11-09,60,0.416762,0
101594,2020-11-09,91,0.454732,0
101594,2020-11-09,122,0.452974,0
101594,2020-11-09,152,0.426798,0
101594,2020-11-09,182,0.398981,0
101594,2020-11-09,273,0.517089,0
101594,2020-11-09,365,0.460984,0
101594,2020-11-09,547,0.404419,0
101594,2020-11-09,730,0.390987,0
101594,2020-11-09,1825,0.301797,0
101594,2020-11-10,10,0.34689,0
101594,2020-11-10,14,0.538658,0
101594,2020-11-10,30,0.441902,0
101594,2020-11-10,60,0.415426,0
101594,2020-11-10,91,0.450569,0
101594,2020-11-10,122,0.450393,0
101594,2020-11-10,152,0.419206,0
